JLinkedSequence; SLinkedSequence
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366026.0; 531805.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531864.0
366024.0; 531822.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
366024.0; 531800.0
