JArraySequence; JLinkedSequence; JVectorSequence; SArraySequence; SLinkedSequence
11555; 6539; 12171; 9062; 2891
11585; 6527; 12120; 9082; 2910
11588; 6531; 12182; 9088; 2905
11565; 6524; 12194; 9096; 2886
11542; 6539; 12197; 9093; 2909
11581; 6547; 12175; 9091; 2899
11581; 6527; 12194; 9081; 2899
11579; 6537; 12163; 9087; 2910
11583; 6542; 12184; 9089; 2907
11578; 6550; 12137; 9093; 2912
11552; 6538; 12133; 9084; 2916
11610; 6545; 12185; 9076; 2910
11604; 6553; 12114; 9082; 2911
11608; 6555; 12162; 9090; 2906
11606; 6555; 12164; 9086; 2903
11596; 6541; 12182; 9077; 2907
11605; 6539; 12158; 9066; 2906
11600; 6548; 12181; 9069; 2898
11624; 6540; 12120; 9081; 2913
11609; 6552; 12155; 9068; 2906
11614; 6546; 12141; 9063; 2908
11598; 6549; 12194; 9067; 2910
11615; 6538; 12098; 9062; 2908
11632; 6545; 12135; 9077; 2911
11613; 6550; 12160; 9065; 2909
11616; 6532; 12192; 9064; 2911
11604; 6546; 12137; 9077; 2909
11607; 6546; 12179; 9061; 2910
11605; 6542; 12125; 9074; 2902
11615; 6551; 12197; 9073; 2903
